Dominant Topic,Topics,System,message
,,Rocksdb,"Move MemoryAllocator option from Cache to BlockBasedTableOptions (#4676)

Summary:
Per offline discussion with siying, `MemoryAllocator` and `Cache` should be decouple. The idea is that memory allocator handles memory allocation, while cache handle cache policy.

It is normal that external cache libraries pack couple the two components for better optimization. If we want to integrate with such library in the future, we can make a wrapper of the library implementing both `Cache` and `MemoryAllocator` interface.
 Request resolved: https://github.com/facebook/rocksdb//4676

Differential Revision: D13047662

ed By: yiwu-arbug

fbshipit-source-id: cd42e246d80ab600b4de47d073f7d2db308ce6dd   ,  Revert ""Move MemoryAllocator option from Cache to BlockBasedTableOpti… (#4697)
  ,  "
Performance management,Performance Managament,Rocksdb,"Add a new CPU time counter to compaction report (#4889)

Summary:
Measure CPU time consumed for a compaction and report it in the stats report
Enable NowCPUNanos() to work for MacOS
 Request resolved: https://github.com/facebook/rocksdb//4889

Differential Revision: D13701276

ed By: zinoale

fbshipit-source-id: 5024e5bbccd4dd10fd90d947870237f436445055   ,  "
,,Rocksdb,"Move MemoryAllocator option from Cache to BlockBasedTableOptions (#4676)

Summary:
Per offline discussion with siying, `MemoryAllocator` and `Cache` should be decouple. The idea is that memory allocator handles memory allocation, while cache handle cache policy.

It is normal that external cache libraries pack couple the two components for better optimization. If we want to integrate with such library in the future, we can make a wrapper of the library implementing both `Cache` and `MemoryAllocator` interface.
 Request resolved: https://github.com/facebook/rocksdb//4676

Differential Revision: D13047662

ed By: yiwu-arbug

fbshipit-source-id: cd42e246d80ab600b4de47d073f7d2db308ce6dd   ,  Revert ""Move MemoryAllocator option from Cache to BlockBasedTableOpti… (#4697)
 ,  "
,,Rocksdb,"Fix compatibility of public ticker stats (#4701)

Summary:
Currently, `Statistics` can record tick by `recordTick()` whose second parameter is an `uint64_t`.
That means tick can only increase.
If we want to reduce tick, we have to work around like `RecordTick(statistics_, NO_ITERATORS, uint64_t(-1));`.
That's kind of a hack.

So, this PR divide `NO_ITERATORS` into two counters `NO_ITERATOR_CREATED` and `NO_ITERATOR_DELETE`, making the counters increase only.

Fixes #3013 .
 Request resolved: https://github.com/facebook/rocksdb//4498

  ,  "
,,Rocksdb,"Extend Transaction::GetForUpdate with do_validate (#4680)

Summary:
Transaction::GetForUpdate is extended with a do_validate parameter with default value of true. If false it skips validating the snapshot (if there is any) before doing the read. After the read it also returns the latest value (expects the ReadOptions::snapshot to be nullptr). This allows RocksDB applications to use GetForUpdate similarly to how InnoDB does. Similarly ::Merge, ::Put, ::Delete, and ::SingleDelete are extended with assume_exclusive_tracked with default value of false. It true it indicates that call is assumed to be after a ::GetForUpdate(do_validate=false).
The Java APIs are accordingly updated.
 Request resolved: https://github.com/facebook/rocksdb//4680

  ,  "
,,Rocksdb,"Divide `NO_ITERATORS` into two counters `NO_ITERATOR_CREATED` and `NO_ITERATOR_DELETE` (#4498)

Summary:
Currently, `Statistics` can record tick by `recordTick()` whose second parameter is an `uint64_t`.
That means tick can only increase.
If we want to reduce tick, we have to work around like `RecordTick(statistics_, NO_ITERATORS, uint64_t(-1));`.
That's kind of a hack.

So, this PR divide `NO_ITERATORS` into two counters `NO_ITERATOR_CREATED` and `NO_ITERATOR_DELETE`, making the counters increase only.

Fixes #3013 .
 Request resolved: https://github.com/facebook/rocksdb//4498
  ,  "
,,Rocksdb,"Revert ""apply ReadOptions.iterate_upper_bound to transaction iterator… (#4705)

Summary:
Currently transaction iterator does not apply `ReadOptions.iterate_upper_bound` when iterating. This PR attempts to fix the problem by having `BaseDeltaIterator` enforcing the upper bound check when iterator state is changed.
 Request resolved: https://github.com/facebook/rocksdb//4656

  ,  "
,,Rocksdb,"Remove redundant member var and set options (#4631)

Summary:
In the past, both `DBImpl::atomic_flush_` and
`DBImpl::immutable_db_options_.atomic_flush` exist. However, we fail to set
`immutable_db_options_.atomic_flush`, but use `DBImpl::atomic_flush_` which is
set correctly. This does not lead to incorrect behavior, but is a duplicate of
information.

Since `immutable_db_options_` is always there and has `atomic_flush`, we should
use it as source of truth and remove `DBImpl::atomic_flush_`.
  ,  "
Memory Management,"Memory Management,Compression tasks, restructring the code",Rocksdb,"Fix BlockBasedTable not always using memory allocator if available (#4678)

Summary:
Fix block based table reader not using memory_allocator when allocating index blocks and compression dictionary blocks.
 Request resolved: https://github.com/facebook/rocksdb//4678
Memory leak solved
Differential Revision: D13054594

ed By: yiwu-arbug

fbshipit-source-id: 379f25bcc665395662511c4f873f4b7b55104ce2   ,  Remove two variables from BlockContents class and don't use class Block for compressed block (#4650)
  ,  "
Memory Management,"Memory Management, Compression tasks, restructring the code",Rocksdb,"Remove two variables from BlockContents class and don't use class Block for compressed block (#4650)

Summary:
Fix block based table reader not using memory_allocator when allocating index blocks and compression dictionary blocks.
 Request resolved: https://github.com/facebook/rocksdb//4678
Memory leak solved
Differential Revision: D13054594

ed By: yiwu-arbug

fbshipit-source-id: 379f25bcc665395662511c4f873f4b7b55104ce2   ,  "
Memory Management,"Memory Management, Compression tasks, restructring the code",Rocksdb,"Remove two variables from BlockContents class and don't use class Block for compressed block (#4650)

Summary:
- If block cache disabled or not used for meta-blocks, `BlockBasedTableReader::Rep::uncompression_dict` owns the `UncompressionDict`. It is preloaded during `PrefetchIndexAndFilterBlocks`.
- If block cache is enabled and used for meta-blocks, block cache owns the `UncompressionDict`, which holds dictionary and digested dictionary when needed. It is never prefetched though there is a TODO for this in the code. The cache key is simply the compression dictionary block handle.
- New stats for compression dictionary accesses in block cache: ""BLOCK_CACHE_COMPRESSION_DICT_*"" and ""compression_dict_block_read_count""
 Request resolved: https://github.com/facebook/rocksdb//4881
compression dictionary
Differential Revision: D13663801

ed By: ajkr

fbshipit-source-id: bdcc54044e180855cdcc57639b493b0e016c9a3f   ,  Fix BlockBasedTable not always using memory allocator if available (#4678)
  ,  "
,,Rocksdb,"Add SstFileReader to read sst files (#4717)

Summary:
A user friendly sst file reader is useful when we want to access sst
files outside of RocksDB. For example, we can generate an sst file
with SstFileWriter and send it to other places, then use SstFileReader
to read the file and process the entries in other ways.

Also rename the original SstFileReader to SstFileDumper because of
name conflict, and seems SstFileDumper is more appropriate for tools.

 ,  "
Restructuring the code,"Memory Management, Compression tasks, Restructuring the code",Rocksdb,"Cache dictionary used for decompressing data blocks (#4881)

Summary:
Per offline discussion with siying, `MemoryAllocator` and `Cache` should be decouple. The idea is that memory allocator handles memory allocation, while cache handle cache policy.

It is normal that external cache libraries pack couple the two components for better optimization. If we want to integrate with such library in the future, we can make a wrapper of the library implementing both `Cache` and `MemoryAllocator` interface. Memory leak solved
 Request resolved: https://github.com/facebook/rocksdb//4676

Differential Revision: D13047662

ed By: yiwu-arbug

fbshipit-source-id: cd42e246d80ab600b4de47d073f7d2db308ce6dd   ,  "
Data Conversion, Data Conversion,Rocksdb,"Fix the build error caused by the dynamic array (#4918)

Summary:
In the MixGraph benchmark of db_bench #4788 , the char array is initialized with an argument from user's input, which can cause build error on some platforms. Also, the msg char array size can be potentially smaller than the printed data, which should be extended from 100 to 256.

Tested with make check.
 Request resolved: https://github.com/facebook/rocksdb//4918

Differential Revision: D13844298

ed By: sagar0

fbshipit-source-id: 33c4809c5c4438f0a9f7b289d3f42e20c545bbab   ,  Generate mixed workload with Get, Put, Seek in db_bench (#4788)

 ,  "
Restructuring the code ,Restructuring the code,Rocksdb,"Refine db_stress params for atomic flush (#4781)

Summary:
Separate flag for enabling option from flag for enabling dedicated atomic stress test. I have found setting the former without setting the latter can detect different problems.
 Request resolved: https://github.com/facebook/rocksdb//4781

Differential Revision: D13463211
  ,  "
API Management, API Usage,Rocksdb,"tools: use provided options instead of the default (#4839)

Summary:
The current implementation hardcode the default options in different
places, which makes it impossible to support other environments  API(like
encrypted environment).
 Request resolved: https://github.com/facebook/rocksdb//4839

   ,  "
Restructuring the code,"Memory Management, Compression tasks, Restructuring the code",Rocksdb,"Cache dictionary used for decompressing data blocks (#4881)

Summary:
This is essentially a re-submission of #4251 with a few improvements:

- Split `CompressionDict` into two separate classes: `CompressionDict` and `UncompressionDict`
- Eliminated `Init` functions. Instead do all initialization work in constructors.
- Added test case for parallel DB open, which is the scenario where #4251 failed under TSAN.
 Request resolved: https://github.com/facebook/rocksdb//4849

   ,  "
